key,item_id,condition,kind,cell,persona_k,ent_bin,error,finish_reason,raw_text,rating,provider,model_requested,model_version,attempts,in_tok,out_tok,sent_at,persona_sent,system_sha256,user_sha256,rate_headers
52|Asian-Woman#1,52,Asian-Woman#1,persona,Asian-Woman,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,909,2,2026-08-27T12:08:02.271672,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,54eed71d767c7b72,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '998', 'x-ratelimit-reset-requests': '2m52.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7083', 'x-ratelimit-reset-tokens': '6.877s'}"
52|Asian-Woman#2,52,Asian-Woman#2,persona,Asian-Woman,1,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,913,2,2026-08-27T12:08:02.777271,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,54eed71d767c7b72,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '997', 'x-ratelimit-reset-requests': '4m19.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6457', 'x-ratelimit-reset-tokens': '11.572s'}"
52|White-Man#1,52,White-Man#1,persona,White-Man,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,905,2,2026-08-27T12:08:05.875054,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,54eed71d767c7b72,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '996', 'x-ratelimit-reset-requests': '5m45.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5960', 'x-ratelimit-reset-tokens': '15.3s'}"
52|baseline#1,52,baseline#1,baseline,,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,869,2,2026-08-27T12:08:08.018888,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,54eed71d767c7b72,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '995', 'x-ratelimit-reset-requests': '7m12s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5369', 'x-ratelimit-reset-tokens': '19.732s'}"
54|Asian-Woman#1,54,Asian-Woman#1,persona,Asian-Woman,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,962,2,2026-08-27T12:08:10.208128,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,12d61c5648be70c2,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '994', 'x-ratelimit-reset-requests': '8m38.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4693', 'x-ratelimit-reset-tokens': '24.802s'}"
54|Asian-Woman#2,54,Asian-Woman#2,persona,Asian-Woman,1,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,966,2,2026-08-27T12:08:12.415805,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,12d61c5648be70c2,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '993', 'x-ratelimit-reset-requests': '10m4.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4020', 'x-ratelimit-reset-tokens': '29.85s'}"
54|White-Man#1,54,White-Man#1,persona,White-Man,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,958,2,2026-08-27T12:08:14.588005,"About you: You are a man. Your race or ethnicity is White. You are a member of Generation Z. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",dfd6497c82a1b2f4,12d61c5648be70c2,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '992', 'x-ratelimit-reset-requests': '11m31.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3346', 'x-ratelimit-reset-tokens': '34.905s'}"
54|baseline#1,54,baseline#1,baseline,,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,922,2,2026-08-27T12:08:16.888389,"You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",93d8cf6c868d4dd3,12d61c5648be70c2,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '991', 'x-ratelimit-reset-requests': '12m57.599s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '2725', 'x-ratelimit-reset-tokens': '39.562s'}"
134|Asian-Woman#1,134,Asian-Woman#1,persona,Asian-Woman,0,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,878,2,2026-08-27T12:08:19.045961,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",e9739226ef22c090,92d13b96ec572ba7,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '990', 'x-ratelimit-reset-requests': '14m24s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7120', 'x-ratelimit-reset-tokens': '6.6s'}"
134|Asian-Woman#2,134,Asian-Woman#2,persona,Asian-Woman,1,low,,stop,No,No,groq,qwen/qwen3.8-27b,qwen/qwen3.8-27b,1,882,2,2026-08-27T12:09:00.990333,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a member of Generation X or older. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",b3d43d752b466a3e,92d13b96ec572ba7,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '989', 'x-ratelimit-reset-requests': '15m50.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6527', 'x-ratelimit-reset-tokens': '11.047s'}"
