key,diagnostic,item_id,condition,kind,cell,persona_k,rep,variant,ent_bin,provider,model_requested,temperature,max_output_tokens,system_sha256,user_sha256,persona_sent,sent_at,model_version,text,finish_reason,in_tokens,out_tokens,attempts,error,rate_headers,raw,rating
10|Asian-Woman#1|v1|rep1,A,10,Asian-Woman#1,persona,Asian-Woman,0,1,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,49a4261f1f80077e,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:00.250908,qwen/qwen3.8-27b,No,stop,873,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '943', 'x-ratelimit-reset-requests': '1h22m4.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7119', 'x-ratelimit-reset-tokens': '6.607s'}","{'id': 'chatcmpl-5c9914b2-99f5-4d68-9c2d-87e4e872c0b3', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847779, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 873, 'total_tokens': 875, 'completion_time': 0.004202048, 'completion_tokens_details': None, 'prompt_time': 0.0754775, 'prompt_tokens_details': None, 'queue_time': 0.004013104, 'total_time': 0.079679548}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120g9b7eyfvjxt41jxfs1db', 'debug': None, 'seed': 1466802567, 'usage': None}}",No
10|Asian-Woman#1|v1|rep2,A,10,Asian-Woman#1,persona,Asian-Woman,0,2,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,49a4261f1f80077e,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:00.711592,qwen/qwen3.8-27b,No,stop,873,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '942', 'x-ratelimit-reset-requests': '1h23m31.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6525', 'x-ratelimit-reset-tokens': '11.062s'}","{'id': 'chatcmpl-6148ef62-f4c6-4931-93e8-313583d571f5', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847781, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_1944680867', 'usage': {'completion_tokens': 2, 'prompt_tokens': 873, 'total_tokens': 875, 'completion_time': 0.004099709, 'completion_tokens_details': None, 'prompt_time': 0.060138401, 'prompt_tokens_details': None, 'queue_time': 0.063624012, 'total_time': 0.06423811}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120gbf9ep9ambv9bnpg7d51', 'debug': None, 'seed': 21303295, 'usage': None}}",No
10|Asian-Woman#1|v1|rep3,A,10,Asian-Woman#1,persona,Asian-Woman,0,3,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,49a4261f1f80077e,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:03.023640,qwen/qwen3.8-27b,No,stop,873,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '941', 'x-ratelimit-reset-requests': '1h24m57.599s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5949', 'x-ratelimit-reset-tokens': '15.382s'}","{'id': 'chatcmpl-7047543f-3e9d-4e74-b65a-989bea77dc95', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847784, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 873, 'total_tokens': 875, 'completion_time': 0.004166658, 'completion_tokens_details': None, 'prompt_time': 0.075422141, 'prompt_tokens_details': None, 'queue_time': 0.004073469, 'total_time': 0.079588799}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120gdqgew8a86xa9p3n9tff', 'debug': None, 'seed': 124268943, 'usage': None}}",No
10|Asian-Woman#1|v1|rep4,A,10,Asian-Woman#1,persona,Asian-Woman,0,4,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,49a4261f1f80077e,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:05.198763,qwen/qwen3.8-27b,No,stop,873,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '940', 'x-ratelimit-reset-requests': '1h26m24s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '5363', 'x-ratelimit-reset-tokens': '19.777s'}","{'id': 'chatcmpl-ba5ac66e-f57f-4693-8221-8adc5c5d6318', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847786, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 873, 'total_tokens': 875, 'completion_time': 0.004188988, 'completion_tokens_details': None, 'prompt_time': 0.072696208, 'prompt_tokens_details': None, 'queue_time': 0.004223543, 'total_time': 0.076885196}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120gfw5ejya8c4gcx468yhm', 'debug': None, 'seed': 1061955253, 'usage': None}}",No
10|Asian-Woman#1|v1|rep5,A,10,Asian-Woman#1,persona,Asian-Woman,0,5,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,49a4261f1f80077e,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:07.369301,qwen/qwen3.8-27b,No,stop,873,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '939', 'x-ratelimit-reset-requests': '1h27m50.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4772', 'x-ratelimit-reset-tokens': '24.21s'}","{'id': 'chatcmpl-190e09c6-d5d4-4048-bf3e-b4d073d1a96c', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847788, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 873, 'total_tokens': 875, 'completion_time': 0.004197189, 'completion_tokens_details': None, 'prompt_time': 0.075351801, 'prompt_tokens_details': None, 'queue_time': 0.004118896, 'total_time': 0.07954899}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120gj03ecba35h77gsz7me1', 'debug': None, 'seed': 1747023434, 'usage': None}}",No
42|Asian-Woman#1|v1|rep1,A,42,Asian-Woman#1,persona,Asian-Woman,0,1,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,a231b336a47e31cb,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:09.544003,qwen/qwen3.8-27b,No,stop,866,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '938', 'x-ratelimit-reset-requests': '1h29m16.8s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '4185', 'x-ratelimit-reset-tokens': '28.612s'}","{'id': 'chatcmpl-64eaf6d0-1187-4f3d-a284-e64c7a45b597', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847790, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 866, 'total_tokens': 868, 'completion_time': 0.004197988, 'completion_tokens_details': None, 'prompt_time': 0.072072084, 'prompt_tokens_details': None, 'queue_time': 0.004104506, 'total_time': 0.076270072}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120gm3vepvsgcjedg259mdp', 'debug': None, 'seed': 1331284666, 'usage': None}}",No
42|Asian-Woman#1|v1|rep2,A,42,Asian-Woman#1,persona,Asian-Woman,0,2,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,a231b336a47e31cb,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:11.707779,qwen/qwen3.8-27b,No,stop,866,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '937', 'x-ratelimit-reset-requests': '1h30m43.2s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3600', 'x-ratelimit-reset-tokens': '33s'}","{'id': 'chatcmpl-40cb409a-71de-41c6-90a5-782750233118', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847792, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 866, 'total_tokens': 868, 'completion_time': 0.004168999, 'completion_tokens_details': None, 'prompt_time': 0.072135894, 'prompt_tokens_details': None, 'queue_time': 0.003874689, 'total_time': 0.076304893}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120gp6yek7t57j1aj934pyn', 'debug': None, 'seed': 37663082, 'usage': None}}",No
42|Asian-Woman#1|v1|rep3,A,42,Asian-Woman#1,persona,Asian-Woman,0,3,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,a231b336a47e31cb,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:13.908145,qwen/qwen3.8-27b,No,stop,866,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '936', 'x-ratelimit-reset-requests': '1h32m9.6s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '3025', 'x-ratelimit-reset-tokens': '37.312s'}","{'id': 'chatcmpl-1aac4884-56db-4242-b9c5-8062348efd56', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847795, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 866, 'total_tokens': 868, 'completion_time': 0.004195899, 'completion_tokens_details': None, 'prompt_time': 0.075634609, 'prompt_tokens_details': None, 'queue_time': 0.004172043, 'total_time': 0.079830508}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120grbne0g821t8216xxwc5', 'debug': None, 'seed': 700844115, 'usage': None}}",No
42|Asian-Woman#1|v1|rep4,A,42,Asian-Woman#1,persona,Asian-Woman,0,4,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,a231b336a47e31cb,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:16.163350,qwen/qwen3.8-27b,No,stop,866,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '935', 'x-ratelimit-reset-requests': '1h33m36s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '7132', 'x-ratelimit-reset-tokens': '6.51s'}","{'id': 'chatcmpl-51ad95eb-baa1-4229-abbe-872987791019', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847838, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 866, 'total_tokens': 868, 'completion_time': 0.004189878, 'completion_tokens_details': None, 'prompt_time': 0.074451171, 'prompt_tokens_details': None, 'queue_time': 0.00401109, 'total_time': 0.078641049}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120j2s6ea89hbdt4g2w2258', 'debug': None, 'seed': 1979731306, 'usage': None}}",No
42|Asian-Woman#1|v1|rep5,A,42,Asian-Woman#1,persona,Asian-Woman,0,5,v1_original,high,groq,qwen/qwen3.8-27b,1.0,8,e9739226ef22c090,a231b336a47e31cb,"About you: You are a woman. Your race or ethnicity is Asian or of the Asian subcontinent. You are a Millennial. Your highest level of education is a college degree or higher.
You are one specific individual rater, not an average of any group. Other raters on this task may reach different conclusions from yours, and that is expected.",2026-08-27T12:23:59.584452,qwen/qwen3.8-27b,No,stop,866,2,1,,"{'x-ratelimit-limit-requests': '1000', 'x-ratelimit-remaining-requests': '934', 'x-ratelimit-reset-requests': '1h35m2.4s', 'x-ratelimit-limit-tokens': '8000', 'x-ratelimit-remaining-tokens': '6558', 'x-ratelimit-reset-tokens': '10.815s'}","{'id': 'chatcmpl-8085f612-d708-449a-9a85-bbb59d28c3fa', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'No', 'role': 'assistant', 'annotations': None, 'executed_tools': None, 'function_call': None, 'reasoning': None, 'tool_calls': None}}], 'created': 1787847840, 'model': 'qwen/qwen3.8-27b', 'object': 'chat.completion', 'mcp_list_tools': None, 'service_tier': 'on_demand', 'system_fingerprint': 'fp_c7e30c203c', 'usage': {'completion_tokens': 2, 'prompt_tokens': 866, 'total_tokens': 868, 'completion_time': 0.004578744, 'completion_tokens_details': None, 'prompt_time': 0.072109434, 'prompt_tokens_details': None, 'queue_time': 0.004158111, 'total_time': 0.076688178}, 'usage_breakdown': None, 'x_groq': {'id': 'req_01m120j4znejj8ekh98ctmj3z7', 'debug': None, 'seed': 2048602039, 'usage': None}}",No
