request_id,item_id,condition,kind,cell,persona_k,entropy_all,ent_bin
pilot-52-Asian-Woman#1,52,Asian-Woman#1,persona,Asian-Woman,0,0.8158814278301029,low
pilot-52-Asian-Woman#2,52,Asian-Woman#2,persona,Asian-Woman,1,0.8158814278301029,low
pilot-52-White-Man#1,52,White-Man#1,persona,White-Man,0,0.8158814278301029,low
pilot-52-baseline#1,52,baseline#1,baseline,,0,0.8158814278301029,low
pilot-54-Asian-Woman#1,54,Asian-Woman#1,persona,Asian-Woman,0,0.663193224415853,low
pilot-54-Asian-Woman#2,54,Asian-Woman#2,persona,Asian-Woman,1,0.663193224415853,low
pilot-54-White-Man#1,54,White-Man#1,persona,White-Man,0,0.663193224415853,low
pilot-54-baseline#1,54,baseline#1,baseline,,0,0.663193224415853,low
pilot-134-Asian-Woman#1,134,Asian-Woman#1,persona,Asian-Woman,0,0.8158814278301029,low
pilot-134-Asian-Woman#2,134,Asian-Woman#2,persona,Asian-Woman,1,0.8158814278301029,low
pilot-134-White-Man#1,134,White-Man#1,persona,White-Man,0,0.8158814278301029,low
pilot-134-baseline#1,134,baseline#1,baseline,,0,0.8158814278301029,low
pilot-239-Asian-Woman#1,239,Asian-Woman#1,persona,Asian-Woman,0,0.5403651258269956,low
pilot-239-Asian-Woman#2,239,Asian-Woman#2,persona,Asian-Woman,1,0.5403651258269956,low
pilot-239-White-Man#1,239,White-Man#1,persona,White-Man,0,0.5403651258269956,low
pilot-239-baseline#1,239,baseline#1,baseline,,0,0.5403651258269956,low
pilot-274-Asian-Woman#1,274,Asian-Woman#1,persona,Asian-Woman,0,0.7433834924327926,low
pilot-274-Asian-Woman#2,274,Asian-Woman#2,persona,Asian-Woman,1,0.7433834924327926,low
pilot-274-White-Man#1,274,White-Man#1,persona,White-Man,0,0.7433834924327926,low
pilot-274-baseline#1,274,baseline#1,baseline,,0,0.7433834924327926,low
pilot-50-Asian-Woman#1,50,Asian-Woman#1,persona,Asian-Woman,0,1.0349296693048549,medium
pilot-50-Asian-Woman#2,50,Asian-Woman#2,persona,Asian-Woman,1,1.0349296693048549,medium
pilot-50-White-Man#1,50,White-Man#1,persona,White-Man,0,1.0349296693048549,medium
pilot-50-baseline#1,50,baseline#1,baseline,,0,1.0349296693048549,medium
pilot-51-Asian-Woman#1,51,Asian-Woman#1,persona,Asian-Woman,0,1.0499896089134393,medium
pilot-51-Asian-Woman#2,51,Asian-Woman#2,persona,Asian-Woman,1,1.0499896089134393,medium
pilot-51-White-Man#1,51,White-Man#1,persona,White-Man,0,1.0499896089134393,medium
pilot-51-baseline#1,51,baseline#1,baseline,,0,1.0499896089134393,medium
pilot-68-Asian-Woman#1,68,Asian-Woman#1,persona,Asian-Woman,0,1.1564901394333058,medium
pilot-68-Asian-Woman#2,68,Asian-Woman#2,persona,Asian-Woman,1,1.1564901394333058,medium
pilot-68-White-Man#1,68,White-Man#1,persona,White-Man,0,1.1564901394333058,medium
pilot-68-baseline#1,68,baseline#1,baseline,,0,1.1564901394333058,medium
pilot-313-Asian-Woman#1,313,Asian-Woman#1,persona,Asian-Woman,0,1.0958314000022296,medium
pilot-313-Asian-Woman#2,313,Asian-Woman#2,persona,Asian-Woman,1,1.0958314000022296,medium
pilot-313-White-Man#1,313,White-Man#1,persona,White-Man,0,1.0958314000022296,medium
pilot-313-baseline#1,313,baseline#1,baseline,,0,1.0958314000022296,medium
pilot-316-Asian-Woman#1,316,Asian-Woman#1,persona,Asian-Woman,0,1.148827933484027,medium
pilot-316-Asian-Woman#2,316,Asian-Woman#2,persona,Asian-Woman,1,1.148827933484027,medium
pilot-316-White-Man#1,316,White-Man#1,persona,White-Man,0,1.148827933484027,medium
pilot-316-baseline#1,316,baseline#1,baseline,,0,1.148827933484027,medium
pilot-10-Asian-Woman#1,10,Asian-Woman#1,persona,Asian-Woman,0,1.2257731943970958,high
pilot-10-Asian-Woman#2,10,Asian-Woman#2,persona,Asian-Woman,1,1.2257731943970958,high
pilot-10-White-Man#1,10,White-Man#1,persona,White-Man,0,1.2257731943970958,high
pilot-10-baseline#1,10,baseline#1,baseline,,0,1.2257731943970958,high
pilot-42-Asian-Woman#1,42,Asian-Woman#1,persona,Asian-Woman,0,1.3631794977549192,high
pilot-42-Asian-Woman#2,42,Asian-Woman#2,persona,Asian-Woman,1,1.3631794977549192,high
pilot-42-White-Man#1,42,White-Man#1,persona,White-Man,0,1.3631794977549192,high
pilot-42-baseline#1,42,baseline#1,baseline,,0,1.3631794977549192,high
pilot-183-Asian-Woman#1,183,Asian-Woman#1,persona,Asian-Woman,0,1.259480771730524,high
pilot-183-Asian-Woman#2,183,Asian-Woman#2,persona,Asian-Woman,1,1.259480771730524,high
pilot-183-White-Man#1,183,White-Man#1,persona,White-Man,0,1.259480771730524,high
pilot-183-baseline#1,183,baseline#1,baseline,,0,1.259480771730524,high
pilot-185-Asian-Woman#1,185,Asian-Woman#1,persona,Asian-Woman,0,1.3883994928615322,high
pilot-185-Asian-Woman#2,185,Asian-Woman#2,persona,Asian-Woman,1,1.3883994928615322,high
pilot-185-White-Man#1,185,White-Man#1,persona,White-Man,0,1.3883994928615322,high
pilot-185-baseline#1,185,baseline#1,baseline,,0,1.3883994928615322,high
pilot-220-Asian-Woman#1,220,Asian-Woman#1,persona,Asian-Woman,0,1.4583082415063138,high
pilot-220-Asian-Woman#2,220,Asian-Woman#2,persona,Asian-Woman,1,1.4583082415063138,high
pilot-220-White-Man#1,220,White-Man#1,persona,White-Man,0,1.4583082415063138,high
pilot-220-baseline#1,220,baseline#1,baseline,,0,1.4583082415063138,high
